,TimeStamp,PlayerName,StartChips,Seat,PC,PCVal,Flop,FlopVal,Turn,TurnVal,River,RiverVal,Cards
1,3035625580,dmWdJV0KcZAJMusOD/U9VA,183.45,3,fo,,,,,,,,
2,3035625580,7vz79ENDdffUFcvXF6dYDg,104.75,4,fo,0.5,,,,,,,
3,3035625580,AxAa2BuOAJfxqwZ7Mj5rdA,194.65,5,,1.0,,,,,,,1.50
4,3035625580,iwXCq/1JV0liO4FIwKf6og,181.10,6,fo,,,,,,,,
5,3035625580,qoIZizyRrSWFhTV7ehXVnw,296.79,2,fo,,,,,,,,
7,3035627098,Q5L3pamrkmUogFRqCjK0bg,64.55,6,ca,3.5,ra,"(13.0, -6.5)",,,,,22.30
8,3035627098,HQg4dAYPUt6c2wXfx8Qp2A,122.50,1,fo,0.5,,,,,,,
9,3035627098,g86RXhgxX/rkvXugFXNsxw,37.50,2,ca,"(1.0, 2.5)",chfo,,,,,,
10,3035627098,7L23EWse5qkDj68Hv1EtiQ,127.80,3,fo,,,,,,,,
11,3035627098,MNZxOHUPRdX1SwSj3v8z8A,90.20,4,fo,,,,,,,,
12,3035627098,7vz79ENDdffUFcvXF6dYDg,100.60,5,ra,3.5,befo,6.5,,,,,
14,3035626132,7vz79ENDdffUFcvXF6dYDg,104.25,4,fo,,,,,,,,
15,3035626132,AxAa2BuOAJfxqwZ7Mj5rdA,195.15,5,ca,"(0.5, 1.5)",chca,1.0,ch,,be,"(8.0, -8.0)",7.10
16,3035626132,iwXCq/1JV0liO4FIwKf6og,181.10,6,ca,"(1.0, 1.0)",chfo,,,,,,
17,3035626132,qoIZizyRrSWFhTV7ehXVnw,296.79,2,ra,2.0,be,1.0,ch,,fo,,
18,3035626132,dmWdJV0KcZAJMusOD/U9VA,183.45,3,fo,,,,,,,,
20,3035626448,u/mxJyqKM18dJuk2bjd/jg,35.50,7,ra,6.0,bera,"(13.5, 16.0)",,,,,"('Qc', 'Qh')"
21,3035626448,jHnx48lMTaPZLBNypgAVHg,36.40,8,fo,0.5,,,,,,,
22,3035626448,jJAI1364RojbYszw/mD3Uw,56.60,9,fo,1.0,,,,,,,
23,3035626448,KX/0x8JtlabNJOZ7jkDHaw,86.50,1,fo,,,,,,,,
24,3035626448,9kGpt+XUpavowCzDUv23cw,227.09,2,fo,,,,,,,,
25,3035626448,arrhJBpX5+1wZC0mSrIBZg,424.80,3,fo,,,,,,,,
26,3035626448,tUKQYw4MHJ4Iqw+CKv5hRw,28.55,4,fo,,,,,,,,
27,3035626448,IDLLo8J+gjgfhsvySiMx1Q,99,5,raca,"(3.0, 3.0)",chraca,"(27.0, 2.5)",,,,,"(('Jh', 'Ad'), 69.0)"
28,3035626448,elzjf7ECLeQKbtm3Wkijkg,115,6,fo,,,,,,,,
30,3035627330,KX/0x8JtlabNJOZ7jkDHaw,191.60,2,raca,"(4.0, 4.0)",ch,,fo,,,,
31,3035627330,FAcofD/LqNoW2lBvILzZNg,80.60,3,ra,"(0.5, 7.5)",ch,,be,12.0,be,"(25.0, -25.0)",47
32,3035627330,jJAI1364RojbYszw/mD3Uw,34.50,5,ca,"(1.0, 7.0)",ch,,ca,12.0,fo,,
33,3035627330,tUKQYw4MHJ4Iqw+CKv5hRw,44.50,6,fo,,,,,,,,
34,3035627330,8kYt+GCC9wgUgD+EoviQIQ,41.25,7,fo,,,,,,,,
35,3035627330,DC3JBlsvSNHEHhHai36bGw,102.21,8,fo,,,,,,,,
36,3035627330,iJAW3EblFvQQ08NiDCumuQ,157.30,9,cafo,1.0,,,,,,,
37,3035627330,htZ2ZH1E3LCmcdhAOtllkQ,130.48,1,chfo,1.0,,,,,,,
39,3035626152,S33dLcVTq0RT7o3L1XyGzA,44.95,5,fo,,,,,,,,
40,3035626152,v5r0pAobFTmGmX+ESaHqrw,107.45,6,ra,"(0.5, 3.5)",be,4.5,be,9.0,be,"(18.0, -18.0)",33.70
41,3035626152,7o651P4boRE9SLBrnhBw1g,65.43,7,fo,1.0,,,,,,,
42,3035626152,KX/0x8JtlabNJOZ7jkDHaw,105.61,8,fo,,,,,,,,
43,3035626152,VE3UU93i7hzpWDRFio0ZfA,131.35,9,fo,,,,,,,,
44,3035626152,mK/284M+PvERqpedz2vCvg,199,1,fo,,,,,,,,
45,3035626152,ttoADHGfCIyetBEz6v2J8A,35.25,2,caca,"(1.0, 3.0)",ca,4.5,ca,9.0,fo,,
46,3035626152,jJAI1364RojbYszw/mD3Uw,46.35,3,fo,,,,,,,,
