,TimeStamp,PlayerName,StartChips,Seat,PC,PCVal,Flop,FlopVal,Turn,TurnVal,River,RiverVal,Cards
1,3036555098,9GqxeZdEybKVcREg88iLsg,35.60,6,fo,,,,,,,,
2,3036555098,Tc69lc8lChNrgXnKvsPOwA,180.45,1,fo,0.5,,,,,,,
3,3036555098,Z0nHj+AjOKZrnj8PxwyjTQ,49.15,2,fo,1.0,,,,,,,
4,3036555098,kdQtkVQUEkCA/lM1mbZooQ,107.10,3,fo,,,,,,,,
5,3036555098,p7tW8a9G4XZ9afzYEnSCRQ,66.35,4,ra,2.0,be,5.0,ch,,be,5.0,"(('10d', 'Ac'), 23.75)"
6,3036555098,UclQ2X1yLD9Ly8X+/UOX8Q,50.85,5,ca,2.0,ca,5.0,ch,,ca,5.0,
8,3036569102,q7DjvrdVSfraOz33YEtI3w,136.15,2,fo,,,,,,,,
9,3036569102,eh6c6ytWQ1PvwWo56yNrHA,218.70,3,fo,0.5,,,,,,,
10,3036569102,djknr87IMkGf3mR3/qOB5Q,32.60,4,,1.0,,,,,,,1.50
11,3036569102,IRMjAwuLYKvUi+z86ekgvw,112.90,5,fo,,,,,,,,
12,3036569102,Clcozat6wuWEVPhkWUAv/g,51.13,6,fo,,,,,,,,
13,3036569102,/6TXEQSTjvWYl/7evFGm5g,66.10,1,fo,,,,,,,,
15,3036555394,H/B5jPpFi4MC5KO67kSP7Q,57.50,5,fo,,,,,,,,
16,3036555394,BRKGdKLCbwRMR8WOKlt1ZA,199.40,6,fo,0.5,,,,,,,
17,3036555394,sSZBJzpy1ZH4aGvCJdw9qw,217.05,7,fo,1.0,,,,,,,
18,3036555394,uWhRg5ZstkiUIL1M+DTi6Q,101.95,8,raca,"(2.0, 2.0)",be,3.0,befo,5.0,,,
19,3036555394,PRAAWc6k6cCZQQYiDIFxAA,38.45,9,fo,,,,,,,,
20,3036555394,LT221YrZPBSgJyrBLTEuSA,75,1,fo,,,,,,,,
21,3036555394,w2bF7G9JKNM8nw9+zVMkEw,61.51,2,ra,4.0,ca,3.0,ra,"(16.0, -11.0)",,,27.55
22,3036555394,a008t2aO2qD7hmp7xt5oEA,200.35,3,fo,,,,,,,,
23,3036555394,1b84VBN1xftLtjOgGMOFKQ,38.25,4,ca,4.0,fo,,,,,,
25,3036569838,eh6c6ytWQ1PvwWo56yNrHA,218.20,3,fo,,,,,,,,
26,3036569838,djknr87IMkGf3mR3/qOB5Q,33.10,4,fo,0.5,,,,,,,
