,TimeStamp,PlayerName,StartChips,Seat,PC,PCVal,Flop,FlopVal,Turn,TurnVal,River,RiverVal,Cards
1,3035950880,os4I8Ii5VUDXSh3cjOkc1w,93,4,fo,0.15,,,,,,,
2,3035950880,aIQFDrMw83d8YYAF96o2Uw,66.88,6,fo,0.65,,,,,,,
3,3035950880,e6Mmc6tVEzj24Njmznla6Q,91.05,7,ca,"(1.15, 1.0)",ch,,chfo,,,,
4,3035950880,a008t2aO2qD7hmp7xt5oEA,94.50,9,caca,"((0.15, 1.0), 1.0)",ch,,chfo,,,,
5,3035950880,Yh1Aadv2ZHmLCFyHQW8Pfw,107.23,1,fo,0.15,,,,,,,
6,3035950880,FAcofD/LqNoW2lBvILzZNg,158.26,2,fo,0.15,,,,,,,
7,3035950880,bgj5TJhKRXdb9lvRvy9Rbg,83.14,3,ra,"(0.15, 2.0)",ch,,be,"(7.55, -7.55)",,,6.70
9,3035952406,SMPcdji5f8DO+OL2mMkVww,54.25,3,ca,1.0,fo,,,,,,
10,3035952406,3cQWYs6Ypy1A3Kvdl3vU6w,256,4,ca,"(0.5, 0.5)",chfo,,,,,,
11,3035952406,S33dLcVTq0RT7o3L1XyGzA,39,5,ch,1.0,be,"(2.0, -2.0)",,,,,4.25
12,3035952406,/P/xm24DBsfRoQ+cZG/aoQ,99,6,fo,,,,,,,,
13,3035952406,ms/85sSx5azYQW1a13ZYzg,74.35,7,ca,1.0,fo,,,,,,
14,3035952406,+h0hDL4hXJNLqGd4wh0L6A,99.35,8,fo,,,,,,,,
15,3035952406,CfGP3cICEmmyjPnTdag1WA,195.88,9,fo,,,,,,,,
16,3035952406,tiWQmWGg6ODq87xjn7GLng,106,1,fo,,,,,,,,
17,3035952406,u0CkDvclhtrUnFu6YN41ZA,115.80,2,ca,1.0,fo,,,,,,
19,3035952390,7I7RYE+DyVv9a2suFhCI8g,106.35,5,ra,"(13.0, -9.5)",,,,,,,8.50
20,3035952390,MIl4mKv++xSO3ZGINJUW5Q,117.13,6,fo,0.5,,,,,,,
21,3035952390,0FegrvJPODkvmRK5//ZqhQ,194.25,1,fo,1.0,,,,,,,
22,3035952390,TK3VGReOGgFPOIO4e1m93A,99.90,2,fo,,,,,,,,
23,3035952390,q7DjvrdVSfraOz33YEtI3w,165.25,3,rafo,3.5,,,,,,,
24,3035952390,wfd/DYs5Vtx2DTsTahlW3g,17.05,4,fo,,,,,,,,
26,3035952522,gGwvaTEI80I9i3whsh9RKA,200.48,6,fo,,,,,,,,
27,3035952522,5ZUhWBPscXPwtULjxSaqWQ,201.60,1,ra,"(0.5, 2.5)",be,"(4.0, -4.0)",,,,,5.20
28,3035952522,qoIZizyRrSWFhTV7ehXVnw,29.56,2,ca,"(1.0, 2.0)",fo,,,,,,
29,3035952522,dPft7g2lbDhkes7WOvCpKA,132.05,4,fo,,,,,,,,
30,3035952522,WtuwXxyxbK9O35PGqYc8Zg,307.25,5,fo,,,,,,,,
32,3035950452,qXPKNFChuDuz5Hs7n52oSA,63.28,1,fo,,,,,,,,
33,3035950452,4tIGKxHjRv175UkNqpfSsQ,111,2,fo,0.5,,,,,,,
34,3035950452,dPft7g2lbDhkes7WOvCpKA,218.92,3,fo,1.0,,,,,,,
35,3035950452,HQg4dAYPUt6c2wXfx8Qp2A,196,4,fo,,,,,,,,
36,3035950452,5ZUhWBPscXPwtULjxSaqWQ,200,5,ra,"(3.5, -2.5)",,,,,,,2.50
37,3035950452,7zNJoj2jcQ1etMgnzh8clw,142.98,6,fo,,,,,,,,
39,3035951350,4tIGKxHjRv175UkNqpfSsQ,110.50,2,ra,"(3.0, -2.0)",,,,,,,2.50
40,3035951350,dPft7g2lbDhkes7WOvCpKA,217.92,3,fo,0.5,,,,,,,
41,3035951350,HQg4dAYPUt6c2wXfx8Qp2A,196,4,fo,1.0,,,,,,,
42,3035951350,5ZUhWBPscXPwtULjxSaqWQ,201.50,5,fo,,,,,,,,
43,3035951350,7zNJoj2jcQ1etMgnzh8clw,142.98,6,fo,,,,,,,,
44,3035951350,qXPKNFChuDuz5Hs7n52oSA,63.28,1,fo,,,,,,,,
46,3035953792,MIl4mKv++xSO3ZGINJUW5Q,116.63,6,fo,,,,,,,,
47,3035953792,0FegrvJPODkvmRK5//ZqhQ,193.25,1,ca,"(0.5, 3.0)",chca,5.0,ch,,ch,,"(('9s', 'Qs'), 16.6)"
48,3035953792,TK3VGReOGgFPOIO4e1m93A,99.90,2,fo,1.0,,,,,,,
49,3035953792,q7DjvrdVSfraOz33YEtI3w,161.75,3,fo,,,,,,,,
50,3035953792,wfd/DYs5Vtx2DTsTahlW3g,17.05,4,fo,,,,,,,,
51,3035953792,7I7RYE+DyVv9a2suFhCI8g,111.35,5,ra,3.5,be,5.0,ch,,ch,,
53,3035953566,aIQFDrMw83d8YYAF96o2Uw,66.23,6,fo,0.15,,,,,,,
54,3035953566,e6Mmc6tVEzj24Njmznla6Q,88.90,7,ca,"(0.65, 0.5)",chfo,,,,,,
55,3035953566,DSbskv5D5qKxR/MXeY2lfQ,200,8,ch,1.15,chfo,,,,,,
56,3035953566,a008t2aO2qD7hmp7xt5oEA,92.35,9,fo,0.15,,,,,,,
57,3035953566,Yh1Aadv2ZHmLCFyHQW8Pfw,107.08,1,fo,0.15,,,,,,,
58,3035953566,FAcofD/LqNoW2lBvILzZNg,158.11,2,ca,"(0.15, 1.0)",be,"(10.0, -10.0)",,,,,4
59,3035953566,bgj5TJhKRXdb9lvRvy9Rbg,87.69,3,fo,0.15,,,,,,,
60,3035953566,os4I8Ii5VUDXSh3cjOkc1w,92.85,4,fo,0.15,,,,,,,
62,3035953976,5ZUhWBPscXPwtULjxSaqWQ,203.80,1,fo,,,,,,,,
63,3035953976,qoIZizyRrSWFhTV7ehXVnw,26.56,2,ra,"((0.5, 26.06), -23.06)",,,,,,,8
64,3035953976,1uadzoMdwLu8ZTizmRA+nQ,120,3,fo,1.0,,,,,,,
65,3035953976,dPft7g2lbDhkes7WOvCpKA,132.05,4,fo,,,,,,,,
66,3035953976,WtuwXxyxbK9O35PGqYc8Zg,307.25,5,rafo,3.5,,,,,,,
67,3035953976,gGwvaTEI80I9i3whsh9RKA,200.48,6,fo,,,,,,,,
69,3035954900,3cQWYs6Ypy1A3Kvdl3vU6w,255,4,fo,,,,,,,,
70,3035954900,S33dLcVTq0RT7o3L1XyGzA,42.25,5,fo,0.5,,,,,,,
71,3035954900,/P/xm24DBsfRoQ+cZG/aoQ,99,6,fo,1.0,,,,,,,
72,3035954900,ms/85sSx5azYQW1a13ZYzg,73.35,7,fo,,,,,,,,
73,3035954900,+h0hDL4hXJNLqGd4wh0L6A,99.35,8,fo,,,,,,,,
74,3035954900,CfGP3cICEmmyjPnTdag1WA,195.88,9,fo,,,,,,,,
75,3035954900,tiWQmWGg6ODq87xjn7GLng,106,1,fo,,,,,,,,
76,3035954900,u0CkDvclhtrUnFu6YN41ZA,114.80,2,fo,,,,,,,,
77,3035954900,SMPcdji5f8DO+OL2mMkVww,53.25,3,ra,"(3.0, -2.0)",,,,,,,2.50
79,3035952500,dPft7g2lbDhkes7WOvCpKA,217.42,3,ra,"(3.5, -2.5)",,,,,,,2.50
80,3035952500,HQg4dAYPUt6c2wXfx8Qp2A,195,4,fo,0.5,,,,,,,
81,3035952500,5ZUhWBPscXPwtULjxSaqWQ,201.50,5,fo,1.0,,,,,,,
82,3035952500,7zNJoj2jcQ1etMgnzh8clw,142.98,6,fo,,,,,,,,
83,3035952500,qXPKNFChuDuz5Hs7n52oSA,63.28,1,fo,,,,,,,,
84,3035952500,4tIGKxHjRv175UkNqpfSsQ,112,2,fo,,,,,,,,
86,3035956158,S33dLcVTq0RT7o3L1XyGzA,41.75,5,fo,,,,,,,,
87,3035956158,/P/xm24DBsfRoQ+cZG/aoQ,98,6,fo,0.5,,,,,,,
88,3035956158,ms/85sSx5azYQW1a13ZYzg,73.35,7,,1.0,,,,,,,1.50
89,3035956158,CfGP3cICEmmyjPnTdag1WA,195.88,9,fo,,,,,,,,
90,3035956158,tiWQmWGg6ODq87xjn7GLng,106,1,fo,,,,,,,,
91,3035956158,u0CkDvclhtrUnFu6YN41ZA,114.80,2,fo,,,,,,,,
92,3035956158,SMPcdji5f8DO+OL2mMkVww,54.75,3,fo,,,,,,,,
93,3035956158,3cQWYs6Ypy1A3Kvdl3vU6w,255,4,fo,,,,,,,,
95,3035955514,qoIZizyRrSWFhTV7ehXVnw,31.06,2,fo,,,,,,,,
96,3035955514,1uadzoMdwLu8ZTizmRA+nQ,119,3,fo,0.5,,,,,,,
97,3035955514,dPft7g2lbDhkes7WOvCpKA,132.05,4,,1.0,,,,,,,1.50
98,3035955514,WtuwXxyxbK9O35PGqYc8Zg,303.75,5,fo,,,,,,,,
99,3035955514,gGwvaTEI80I9i3whsh9RKA,200.48,6,fo,,,,,,,,
100,3035955514,5ZUhWBPscXPwtULjxSaqWQ,203.80,1,fo,,,,,,,,
102,3035953452,HQg4dAYPUt6c2wXfx8Qp2A,194.50,4,fo,,,,,,,,
103,3035953452,5ZUhWBPscXPwtULjxSaqWQ,200.50,5,ra,"(0.5, 2.5)",ch,,be,"(4.0, -4.0)",,,5.20
104,3035953452,7zNJoj2jcQ1etMgnzh8clw,142.98,6,ca,"(1.0, 2.0)",ch,,fo,,,,
105,3035953452,qXPKNFChuDuz5Hs7n52oSA,63.28,1,fo,,,,,,,,
106,3035953452,4tIGKxHjRv175UkNqpfSsQ,112,2,fo,,,,,,,,
107,3035953452,dPft7g2lbDhkes7WOvCpKA,218.92,3,fo,,,,,,,,
109,3035955844,0FegrvJPODkvmRK5//ZqhQ,201.35,1,fo,,,,,,,,
110,3035955844,TK3VGReOGgFPOIO4e1m93A,98.90,2,fo,0.5,,,,,,,
111,3035955844,q7DjvrdVSfraOz33YEtI3w,161.75,3,rafo,"(1.0, 13.5)",,,,,,,
112,3035955844,wfd/DYs5Vtx2DTsTahlW3g,17.05,4,fo,,,,,,,,
113,3035955844,7I7RYE+DyVv9a2suFhCI8g,102.85,5,rara,"((3.5, 27.0), -16.0)",,,,,,,33
114,3035955844,MIl4mKv++xSO3ZGINJUW5Q,116.63,6,cafo,3.5,,,,,,,
116,3035956420,1uadzoMdwLu8ZTizmRA+nQ,118.50,3,fo,,,,,,,,
117,3035956420,dPft7g2lbDhkes7WOvCpKA,132.55,4,fo,0.5,,,,,,,
118,3035956420,WtuwXxyxbK9O35PGqYc8Zg,303.75,5,,1.0,,,,,,,1.50
119,3035956420,gGwvaTEI80I9i3whsh9RKA,200.48,6,fo,,,,,,,,
120,3035956420,5ZUhWBPscXPwtULjxSaqWQ,203.80,1,fo,,,,,,,,
121,3035956420,qoIZizyRrSWFhTV7ehXVnw,31.06,2,fo,,,,,,,,
123,3035955200,5ZUhWBPscXPwtULjxSaqWQ,202.70,5,fo,,,,,,,,
124,3035955200,7zNJoj2jcQ1etMgnzh8clw,139.98,6,fo,0.5,,,,,,,
125,3035955200,qXPKNFChuDuz5Hs7n52oSA,63.28,1,ca,"(1.0, 2.5)",chca,4.0,chra,"(45.5, -35.5)",,,33.25
