,Unnamed: 0,TimeStamp,GameType,BigBlind,Table,Date,PlayerCount,TotalPot,Dealer,Board,Ante,1on1
0,1,3035950880,HoldemNoLimit,1,WARDELL ST,"2009-07-0614:35:26(ET)
",7,7.55,4,"['4s', '5s', 'Kd', '9h']",$0.15,False
1,2,3035952406,HoldemNoLimit,1,PEARL DR,"2009-07-0614:35:32(ET)
",9,5,3,"['Qd', '5s', '8h']",False,False
2,3,3035952390,HoldemNoLimit,1,BRADBURN RD,"2009-07-0614:35:47(ET)
",6,8.50,5,,False,False
3,4,3035952522,HoldemNoLimit,1,GUAM AVE,"2009-07-0614:35:51(ET)
",5,6,6,"['6s', '9h', '9c']",False,False
4,5,3035950452,HoldemNoLimit,1,AURELIA PL,"2009-07-0614:35:56(ET)
",6,2.50,1,,False,False
5,6,3035951350,HoldemNoLimit,1,AURELIA PL,"2009-07-0614:36:18(ET)
",6,2.50,2,,False,False
6,7,3035953792,HoldemNoLimit,1,BRADBURN RD,"2009-07-0614:36:18(ET)
",6,18,6,"['Kd', 'Qh', '10s', '6d', '9d']",False,False
7,8,3035953566,HoldemNoLimit,1,WARDELL ST,"2009-07-0614:36:18(ET)
",8,4.20,6,"['3c', '5h', '3s']",$0.15,False
8,9,3035953976,HoldemNoLimit,1,GUAM AVE,"2009-07-0614:36:24(ET)
",6,8,1,,False,False
9,10,3035954900,HoldemNoLimit,1,PEARL DR,"2009-07-0614:36:24(ET)
",9,2.50,4,,False,False
10,11,3035952500,HoldemNoLimit,1,AURELIA PL,"2009-07-0614:36:42(ET)
",6,2.50,3,,False,False
11,12,3035956158,HoldemNoLimit,1,PEARL DR,"2009-07-0614:36:54(ET)
",8,1.50,5,,False,False
12,13,3035955514,HoldemNoLimit,1,GUAM AVE,"2009-07-0614:36:57(ET)
",6,1.50,2,,False,False
13,14,3035953452,HoldemNoLimit,1,AURELIA PL,"2009-07-0614:36:58(ET)
",6,6,4,"['6c', '6h', 'Ks', '3c']",False,False
14,15,3035955844,HoldemNoLimit,1,BRADBURN RD,"2009-07-0614:37:05(ET)
",6,33,1,,False,False
15,16,3035956420,HoldemNoLimit,1,GUAM AVE,"2009-07-0614:37:15(ET)
",6,1.50,3,,False,False
16,17,3035955200,HoldemNoLimit,1,AURELIA PL,"2009-07-0614:37:29(ET)
",6,35.50,5,"['2h', '10c', 'Qd', '7c']",False,False
17,18,3035956638,HoldemNoLimit,1,WARDELL ST,"2009-07-0614:37:31(ET)
",8,12.70,7,"['Qc', '5d', 'Jc']",$0.15,False
18,19,3035957416,HoldemNoLimit,1,GUAM AVE,"2009-07-0614:37:36(ET)
",6,2.50,4,,False,False
19,20,3035957718,HoldemNoLimit,1,BRADBURN RD,"2009-07-0614:37:44(ET)
",6,10.50,2,"['10s', '3s', '6d', '4h']",False,False
20,21,3035958536,HoldemNoLimit,1,GUAM AVE,"2009-07-0614:37:59(ET)
",6,8.50,5,,False,False
21,22,3035958744,HoldemNoLimit,1,WARDELL ST,"2009-07-0614:38:16(ET)
",8,26.25,8,"['Jh', '3d', '2s', '4c', 'Jd']",$0.15,False
22,23,3035957842,HoldemNoLimit,1,AURELIA PL,"2009-07-0614:38:23(ET)
",6,2.50,6,,False,False
23,24,3035958200,HoldemNoLimit,1,MARION AVE,"2009-07-0614:38:31(ET)
",8,20,2,"['Qs', 'Qd', '3d', '4s', '6h']",False,False
24,25,3035960506,HoldemNoLimit,1,BRADBURN RD,"2009-07-0614:38:43(ET)
",6,8.50,3,,False,False
25,26,3035961110,HoldemNoLimit,1,GUAM AVE,"2009-07-0614:38:55(ET)
",6,3,6,,False,False
26,27,3035959232,HoldemNoLimit,1,AURELIA PL,"2009-07-0614:38:57(ET)
",6,2.50,1,,False,False
27,28,3035961528,HoldemNoLimit,1,BRADBURN RD,"2009-07-0614:39:04(ET)
",6,2.50,4,"['6d', 'Ks', '4d']",False,False
28,29,3035959878,HoldemNoLimit,1,AURELIA PL,"2009-07-0614:39:09(ET)
",6,36,2,"['7h', '5s', '5d']",False,False
29,30,3035962808,HoldemNoLimit,1,BRADBURN RD,"2009-07-0614:39:30(ET)
",6,10.50,5,"['5h', '3s', '8c']",False,False
30,31,3035962980,HoldemNoLimit,1,GUAM AVE,"2009-07-0614:39:34(ET)
",6,3,1,"['6d', '5s', '3d', 'Jc', '7c']",False,False
31,32,3035961834,HoldemNoLimit,1,AURELIA PL,"2009-07-0614:39:50(ET)
",6,2.50,3,,False,False
32,33,3035964076,HoldemNoLimit,1,BRADBURN RD,"2009-07-0614:39:59(ET)
",6,11,6,"['As', 'Qd', '10c', '6h']",False,False
33,34,3035962410,HoldemNoLimit,1,MARION AVE,"2009-07-0614:40:01(ET)
",8,30,3,"['9d', 'Ad', '3h', '2d', '5d']",False,False
34,35,3035962956,HoldemNoLimit,1,AURELIA PL,"2009-07-0614:40:15(ET)
",6,7.50,4,"['Ks', '6d', '4s']",False,False
35,36,3035964568,HoldemNoLimit,1,WARDELL ST,"2009-07-0614:40:23(ET)
",9,3.20,9,"['Qd', 'Ks', '10c', '4h', '4d']",$0.15,False
36,37,3035965550,HoldemNoLimit,1,BRADBURN RD,"2009-07-0614:40:32(ET)
",6,18.50,1,"['8h', '8s', '10s', '2h']",False,False
37,38,3035964296,HoldemNoLimit,1,AURELIA PL,"2009-07-0614:40:45(ET)
",6,2.50,5,,False,False
38,39,3035967608,HoldemNoLimit,1,BRADBURN RD,"2009-07-0614:41:21(ET)
",6,8.50,2,"['7c', '8s', '7h']",False,False
39,40,3035965998,HoldemNoLimit,1,AURELIA PL,"2009-07-0614:41:24(ET)
",6,2.50,6,,False,False
40,41,3035967510,HoldemNoLimit,1,WARDELL ST,"2009-07-0614:41:29(ET)
",8,23.20,1,"['10c', 'Qh', '6h', 'Kd', 'Ks']",$0.15,False
41,42,3035968408,HoldemNoLimit,1,GUAM AVE,"2009-07-0614:41:36(ET)
",6,2.50,2,,False,False
42,43,3035967020,HoldemNoLimit,1,AURELIA PL,"2009-07-0614:41:47(ET)
",6,2,1,,False,False
43,44,3035967112,HoldemNoLimit,1,MARION AVE,"2009-07-0614:41:48(ET)
",9,3.50,4,,False,False
44,45,3035969150,HoldemNoLimit,1,BRADBURN RD,"2009-07-0614:41:55(ET)
",6,126,3,"['6d', '2s', 'Qc', '8c', '2c']",False,False
45,46,3035969560,HoldemNoLimit,1,GUAM AVE,"2009-07-0614:42:04(ET)
",6,2.50,3,,False,False
46,47,3035968248,HoldemNoLimit,1,AURELIA PL,"2009-07-0614:42:11(ET)
",6,2.50,2,"['8h', '4s', '9d', '5h', '5s']",False,False
47,48,3035968448,HoldemNoLimit,1,MARION AVE,"2009-07-0614:42:15(ET)
",8,10.50,5,,False,False
48,49,3035969706,HoldemNoLimit,1,WARDELL ST,"2009-07-0614:42:15(ET)
",8,12.60,2,"['Qs', 'Jc', '5s']",$0.15,False
49,50,3035971192,HoldemNoLimit,1,GUAM AVE,"2009-07-0614:42:44(ET)
",6,1.50,4,,False,False
50,51,3035971514,HoldemNoLimit,1,BRADBURN RD,"2009-07-0614:42:54(ET)
",6,24.50,4,"['9s', '6c', 'Ks', 'Ac']",False,False
51,52,3035972254,HoldemNoLimit,1,WARDELL ST,"2009-07-0614:43:07(ET)
",8,7.20,3,"['5s', '2s', 'Ks', 'Qc']",$0.15,False
52,53,3035972252,HoldemNoLimit,1,GUAM AVE,"2009-07-0614:43:12(ET)
",6,3,5,"['3s', 'Ah', '4c']",False,False
53,54,3035974208,HoldemNoLimit,1,BRADBURN RD,"2009-07-0614:43:55(ET)
",6,1.50,5,,False,False
54,55,3035974586,HoldemNoLimit,1,WARDELL ST,"2009-07-0614:44:02(ET)
",8,4.20,4,"['Qc', '5h', '4h']",$0.15,False
55,56,3035974862,HoldemNoLimit,1,BRADBURN RD,"2009-07-0614:44:09(ET)
",6,2.50,6,,False,False
56,57,3035975052,HoldemNoLimit,1,GUAM AVE,"2009-07-0614:44:12(ET)
",6,7.50,6,"['10d', '2s', '9h']",False,False
57,58,3035976112,HoldemNoLimit,1,WARDELL ST,"2009-07-0614:44:36(ET)
",8,4.20,6,"['8h', '7h', '3d', 'Jd']",$0.15,False
58,59,3035976156,HoldemNoLimit,1,BRADBURN RD,"2009-07-0614:44:38(ET)
",5,2.50,1,"['9c', '4h', 'Qd']",False,False
59,60,3035977810,HoldemNoLimit,1,PEARL DR,"2009-07-0614:45:06(ET)
",9,1.50,6,,False,False
60,61,3035977722,HoldemNoLimit,1,BRADBURN RD,"2009-07-0614:45:12(ET)
",5,2,2,,False,False
61,62,3035977878,HoldemNoLimit,1,GUAM AVE,"2009-07-0614:45:15(ET)
",6,2.50,1,,False,False
62,63,3035978582,HoldemNoLimit,1,BRADBURN RD,"2009-07-0614:45:30(ET)
",5,1.50,3,,False,False
63,64,3035979206,HoldemNoLimit,1,PEARL DR,"2009-07-0614:45:34(ET)
",9,6.50,7,"['6d', '8s', '4c', '7d']",False,False
64,65,3035979540,HoldemNoLimit,1,WARDELL ST,"2009-07-0614:45:45(ET)
",6,5.40,7,"['4h', 'Qh', 'Ah']",$0.15,False
65,66,3035979676,HoldemNoLimit,1,GUAM AVE,"2009-07-0614:45:54(ET)
",6,24,2,"['5h', 'Jc', 'Ks']",False,False
66,67,3035979736,HoldemNoLimit,1,BRADBURN RD,"2009-07-0614:45:55(ET)
",5,1.50,4,,False,False
67,68,3035980564,HoldemNoLimit,1,BRADBURN RD,"2009-07-0614:46:11(ET)
",5,2.50,5,,False,False
68,69,3035980922,HoldemNoLimit,1,WARDELL ST,"2009-07-0614:46:11(ET)
",7,3.55,8,"['4c', 'Kc', '3h']",$0.15,False
69,70,3035981860,HoldemNoLimit,1,PEARL DR,"2009-07-0614:46:25(ET)
",9,25.50,8,"['7s', '2c', '5s', 'Qc', '9c']",False,False
70,71,3035981760,HoldemNoLimit,1,SENECA DR,"2009-07-0614:46:27(ET)
",6,2.50,3,,False,False
71,72,3035981554,HoldemNoLimit,1,BRADBURN RD,"2009-07-0614:46:33(ET)
",5,2,6,,False,False
72,73,3035982880,HoldemNoLimit,1,WARDELL ST,"2009-07-0614:46:48(ET)
",7,3.55,1,"['6c', 'Ad', '10']",$0.15,False
73,74,3035982642,HoldemNoLimit,1,BRADBURN RD,"2009-07-0614:46:56(ET)
",5,17,1,"['2h', 'Ad', '7s', 'Ks', '3c']",False,False
74,75,3035983396,HoldemNoLimit,1,SENECA DR,"2009-07-0614:46:59(ET)
",5,2.50,4,,False,False
75,76,3035984034,HoldemNoLimit,1,PEARL DR,"2009-07-0614:47:12(ET)
",9,67.50,9,"['5h', '9s', '3c', '9c', '8d']",False,False
76,77,3035984350,HoldemNoLimit,1,SENECA DR,"2009-07-0614:47:16(ET)
",5,7.50,5,"['5h', 'Kh', 'Qh']",False,False
77,78,3035985564,HoldemNoLimit,1,SENECA DR,"2009-07-0614:47:37(ET)
",5,1.50,6,,False,False
