,TimeStamp,PlayerName,StartChips,Seat,PC,PCVal,Flop,FlopVal,Turn,TurnVal,River,RiverVal,Cards
1,3036215426,4tIGKxHjRv175UkNqpfSsQ,113.30,1,fo,0.5,,,,,,,
2,3036215426,os4I8Ii5VUDXSh3cjOkc1w,291.10,3,,1.0,,,,,,,1.50
4,3036222580,2uro3KRxW9YSO2CnY5JCDw,128.60,4,fo,,,,,,,,
5,3036222580,7I7RYE+DyVv9a2suFhCI8g,105.02,5,fo,0.5,,,,,,,
6,3036222580,1uadzoMdwLu8ZTizmRA+nQ,157.60,6,ch,1.0,chfo,,,,,,
7,3036222580,5I4Ntu9Mak1M2hb6CgdvQA,87.80,1,fo,,,,,,,,
8,3036222580,eAAK5tXyi9bMOA/6QH8E4w,94.27,2,ca,1.0,be,"(2.5, -2.5)",,,,,2.40
9,3036222580,os4I8Ii5VUDXSh3cjOkc1w,178.95,3,fo,,,,,,,,
11,3036193368,C3S4udZ40dAp7T8+OLTFzA,165.50,3,fo,,,,,,,,
12,3036193368,1uadzoMdwLu8ZTizmRA+nQ,238.40,4,fo,0.5,,,,,,,
13,3036193368,J/9uHPTZ8oVMZfuqRZFprQ,45.50,5,,1.0,,,,,,,1.50
14,3036193368,DO8rgn31KkgyCUmhQq58OA,145.65,6,fo,,,,,,,,
15,3036193368,7I7RYE+DyVv9a2suFhCI8g,107.50,1,fo,,,,,,,,
16,3036193368,nkt5AtBG1nCOFB5quSqsuA,25.70,2,fo,,,,,,,,
18,3036215884,os4I8Ii5VUDXSh3cjOkc1w,291.60,3,ra,"(0.5, 2.5)",beca,"(4.0, 10.0)",ca,24.0,ca,56.0,"(('Qd', 'Qs'), 193.25)"
19,3036215884,4tIGKxHjRv175UkNqpfSsQ,112.80,1,ca,"(1.0, 2.0)",chra,14.0,be,24.0,be,56.0,"('Jc', 'Qc')"
21,3036210444,hww3wo2qdpFMAmN51yf8HA,172.40,6,ra,"((0.5, 2.5), -2.0)",,,,,,,2
22,3036210444,BIKFfnQvyn9+ELM5Qjumew,59.10,4,fo,1.0,,,,,,,
24,3036216566,1uadzoMdwLu8ZTizmRA+nQ,114,6,fo,,,,,,,,
25,3036216566,yspTPyicC4Ere+tsoRHI1A,237.85,2,fo,0.5,,,,,,,
26,3036216566,jL/h9MqRxEf/73gYSq4yZQ,348.45,4,,1.0,,,,,,,1.50
27,3036216566,w4CTNTmTkGuIHvHjRsKLFA,54.60,5,fo,,,,,,,,
29,3036210822,BIKFfnQvyn9+ELM5Qjumew,58.10,4,ra,"((0.5, 1.5), -1.0)",,,,,,,2
30,3036210822,hww3wo2qdpFMAmN51yf8HA,173.40,6,fo,1.0,,,,,,,
32,3036217168,yspTPyicC4Ere+tsoRHI1A,237.35,2,fo,,,,,,,,
33,3036217168,jL/h9MqRxEf/73gYSq4yZQ,348.95,4,caca,"((0.5, 0.5), 2.0)",befo,2.0,,,,,
34,3036217168,w4CTNTmTkGuIHvHjRsKLFA,54.60,5,ra,"(1.0, 2.0)",ra,"(12.0, -10.0)",,,,,9
35,3036217168,1uadzoMdwLu8ZTizmRA+nQ,114,6,fo,,,,,,,,
36,3036217168,/6TXEQSTjvWYl/7evFGm5g,50,1,,,,,,,,,
38,3036211250,ZyNFeeg6SqhkvxWh8o8c/w,81.55,4,ca,1.0,fo,,,,,,
39,3036211250,7agOerQbxmp4flhbBOgLhw,59.41,5,ca,"(0.5, 0.5)",be,"(4.0, -4.0)",,,,,3.80
40,3036211250,kIbanshKysxtdDXKqLAWsA,115.15,6,ch,1.0,fo,,,,,,
41,3036211250,DSbskv5D5qKxR/MXeY2lfQ,186.50,7,fo,,,,,,,,
42,3036211250,CN8njzPOL23bn0/W/qAZEg,96,8,fo,,,,,,,,
43,3036211250,BRKGdKLCbwRMR8WOKlt1ZA,197,9,fo,,,,,,,,
44,3036211250,/P/xm24DBsfRoQ+cZG/aoQ,134.30,1,fo,,,,,,,,
45,3036211250,H/B5jPpFi4MC5KO67kSP7Q,124.40,2,ca,1.0,fo,,,,,,
46,3036211250,Rps1e1hfwzPHI87SNPQzZQ,78.70,3,fo,,,,,,,,
48,3036211270,hww3wo2qdpFMAmN51yf8HA,172.40,6,ra,"((0.5, 2.5), -2.0)",,,,,,,2
49,3036211270,BIKFfnQvyn9+ELM5Qjumew,59.10,4,fo,1.0,,,,,,,
51,3036223786,kIbanshKysxtdDXKqLAWsA,160.90,1,ca,1.0,ch,,ch,,fo,,
